"effect","component","group","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"fixed","cond",NA,"(Intercept)",2.43260474135995,0.504241402824247,4.82428600217074,1.40505681523447e-06,1.44430975231047,3.42089973040943
"fixed","cond",NA,"GearCentipede Net",0.736957669633729,0.227128717426024,3.24466970969339,0.00117586925823963,0.291793563623948,1.18212177564351
"fixed","cond",NA,"GearSeine",1.86127763712354,0.229030429768813,8.12677004973682,4.40880618013261e-16,1.41238624341293,2.31016903083414
"fixed","cond",NA,"logEffort",0.169311259431163,0.176809117438233,0.957593487735786,0.33826778428103,-0.177228242886085,0.515850761748412
"fixed","cond",NA,"Occlusion",-0.0898748242616398,0.227521463023635,-0.395016905514111,0.692830411649985,-0.535808697497827,0.356059048974547
"fixed","cond",NA,"SecchiDepth",0.0562202743382305,0.189573951657242,0.296561177560297,0.76680155390022,-0.315337843316902,0.427778391993363
"fixed","cond",NA,"DaylightPercent",-0.254894099973325,0.167743135116647,-1.5195501133091,0.128624083998185,-0.583664603455789,0.0738764035091398
"fixed","cond",NA,"SteepnessMedium",0.0264487360642748,0.388560434178172,0.0680685261231381,0.945731084742173,-0.735115720742189,0.788013192870739
"fixed","cond",NA,"SteepnessHigh",-0.467221128180528,0.370018185845538,-1.26269774312003,0.206697825430954,-1.19244344606263,0.258001189701576
"fixed","cond",NA,"MudDominantTrue",0.40577801401605,0.442382685627027,0.917255641325352,0.359008696053234,-0.461276117197027,1.27283214522913
"fixed","cond",NA,"SeasonRainy",-0.367808614311669,0.225295325704498,-1.63256211890563,0.102561123761322,-0.809379338577706,0.0737621099543682
"fixed","cond",NA,"Temperature",-0.0821348896115717,0.145717689955281,-0.563657642642963,0.572987149342026,-0.367736313834296,0.203466534611152
"fixed","cond",NA,"GearCentipede Net:logEffort",0.154610547606387,0.276668313678827,0.558829977855244,0.576277761273279,-0.387649382867545,0.696870478080319
"fixed","cond",NA,"GearSeine:logEffort",-0.706160084202113,0.279280570983276,-2.52849699395809,0.0114552067395085,-1.25353994491112,-0.15878022349311
"fixed","cond",NA,"GearCentipede Net:Occlusion",0.287665323537543,0.246953076809518,1.16485822834848,0.244076384349416,-0.196353812880467,0.771684459955552
"fixed","cond",NA,"GearSeine:Occlusion",0.222248557123235,0.256948035684694,0.864955268216025,0.387063340945963,-0.281360338717077,0.725857452963547
"fixed","cond",NA,"GearCentipede Net:SecchiDepth",0.108522473789153,0.300170107699684,0.361536578777951,0.717698365574346,-0.479800126537737,0.696845074116043
"fixed","cond",NA,"GearSeine:SecchiDepth",-0.313676609475669,0.355369120913397,-0.882678294246369,0.377410112928437,-1.01018728768359,0.382834068732249
"fixed","cond",NA,"GearCentipede Net:DaylightPercent",0.306061900076236,0.2346868205152,1.30412904910616,0.192189585898299,-0.153915815779772,0.766039615932244
"fixed","cond",NA,"GearSeine:DaylightPercent",0.812916169745714,0.227983148274606,3.56568534077157,0.000362906583468516,0.366077410045432,1.259754929446
"ran_pars","cond","Site","sd__(Intercept)",2.20769361299628e-05,NA,NA,NA,1.2525225695233,2.30932745472788
